ExitTime,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,Tag,Duration,equity
2024-01-30 12:30:00,75,4814,4817,17561.03515625,17473.302734375,-6579.931640625,-0.0049958570832754345,2024-01-30 09:30:00,,0 days 03:00:00,653937.4130859375
2024-02-13 10:30:00,73,4871,4885,17894.53125,17669.7421875,-16409.6015625,-0.01256188605108055,2024-02-09 10:30:00,,4 days 00:00:00,637527.8115234375
2024-02-13 10:30:00,74,4857,4885,17774.673828125,17669.7421875,-7764.94140625,-0.0059034355082773216,2024-02-07 10:30:00,,6 days 00:00:00,629762.8701171875
2024-02-20 09:30:00,71,4897,4912,17767.958984375,17500.65625,-18978.494140625,-0.01504408776551458,2024-02-14 15:30:00,,5 days 18:00:00,610784.3759765625
2024-03-05 15:30:00,67,4965,4988,18005.16796875,17809.748046875,-13093.134765625,-0.010853546171531003,2024-02-29 13:30:00,,5 days 02:00:00,597691.2412109375
2024-03-05 15:30:00,68,4927,4988,17904.32421875,17809.748046875,-6431.1796875,-0.005282308939421276,2024-02-22 10:30:00,,12 days 05:00:00,591260.0615234375
2024-03-08 13:30:00,65,4997,5007,18219.39453125,18039.802734375,-11673.466796875,-0.00985717700810329,2024-03-07 10:30:00,,1 days 03:00:00,579586.5947265625
2024-03-08 13:30:00,65,4993,5007,18124.826171875,18039.802734375,-5526.5234375,-0.004690993264913845,2024-03-06 13:30:00,,2 days 00:00:00,574060.0712890625
2024-03-14 13:30:00,63,5019,5035,18193.05078125,17983.53515625,-13199.484375,-0.01151624471998558,2024-03-12 11:30:00,,2 days 02:00:00,560860.5869140625
2024-03-19 10:30:00,62,5046,5053,18118.0625,17834.369140625,-17588.98828125,-0.015658040663840245,2024-03-18 10:30:00,,1 days 00:00:00,543271.5986328125
2024-03-20 14:30:00,-61,5054,5064,17888.8046875,18130.96484375,-14771.76953125,-0.013536966861693811,2024-03-19 11:30:00,,1 days 03:00:00,528499.8291015625
